-87.4185,30.57584,"AL,I-10,WB,BALDWIN COUNTY WELCOME CENTER, MM65.8","[RR,PT,VM,Pets,HF]|"
-85.369424,33.667729,"AL,I-20,WB,CLEBURNE COUNTY WELCOME CENTER, MM213","[RR,PT,VM,Pets,HF]|RV Dump"
-86.309572,33.850692,"AL,I-59,NB,ST CLAIR COUNTY REST AREA, MM164","[RR,PT,VM,Pets,HF]|RV Dump"
-86.26854,33.874538,"AL,I-59,SB,ST CLAIR COUNTY REST AREA, MM167","[RR,PT,VM,Pets,HF]|RV Dump"
-85.557909,34.709337,"AL,I-59,SB,DEKALB COUNTY WELCOME CENTER, MM241","[RR,PT,VM,Pets,HF]|RV Dump"
-88.401527,32.449365,"AL,I-59/20,NB,CLOSED SUMTER COUNTY WELCOME CENTER, MM0.1","[RR,PT,VM,Pets,HF]|RV Dump"
-87.959059,32.841501,"AL,I-59/20,NB,GREENE COUNTY REST AREA, MM38","[RR,PT,VM,Pets,HF]|RV Dump"
-87.327741,33.188344,"AL,I-59/20,NB,TUSCALOOSA COUNTY REST AREA, MM85","[RR,PT,VM,Pets,HF]|RV Dump"
-87.938134,32.858956,"AL,I-59/20,SB,GREENE COUNTY REST AREA, MM39","[RR,PT,VM,Pets,HF]|RV Dump"
-87.319811,33.190905,"AL,I-59/20,SB,TUSCALOOSA COUNTY REST AREA, MM85","[RR,PT,VM,Pets,HF]|RV Dump"
-86.866031,34.071669,"AL,I-65,NB,CULLMAN COUNTY REST AREA, MM300","[RR,PT,VM,Pets,HF]|RV Dump"
-86.633068,32.902094,"AL,I-65,NB,CHILTON COUNTY REST AREA, MM213","[RR,PT,VM,Pets,HF]|RV Dump"
-86.610235,31.881886,"AL,I-65,NB,BUTLER COUNTY REST AREA, MM133","[RR,PT,VM,Pets,HF]|RV Dump"
-87.113734,31.336915,"AL,I-65,NB,CONECUH COUNTY REST AREA, MM84","[RR,PT,VM,Pets,HF]|RV Dump"
-86.890553,34.956755,"AL,I-65,SB,ARDMORE WELCOME CENTER CENTER, MM364","[RR,PT,VM,Pets,HF]|RV Dump"
-86.866655,34.079928,"AL,I-65,SB,CULLMAN COUNTY REST AREA, MM300","[RR,PT,VM,Pets,HF]|RV Dump"
-86.639019,32.909824,"AL,I-65,SB,CHILTON COUNTY REST AREA, MM213","[RR,PT,VM,Pets,HF]|RV Dump"
-86.608385,31.885525,"AL,I-65,SB,BUTLER COUNTY REST AREA, MM133","[RR,PT,VM,Pets,HF]|RV Dump"
-87.047289,31.374923,"AL,I-65,SB,CONECUH COUNTY REST AREA, MM89","[RR,PT,VM,Pets,HF]|RV Dump"
-85.617779,32.496995,"AL,I-85,NB,MACON COUNTY REST AREA, MM43.6","[RR,PT,VM,Pets,HF]|RV Dump"
-85.606456,32.505728,"AL,I-85,SB,MACON COUNTY REST AREA, MM44.5","[RR,PT,VM,Pets,HF]|RV Dump"
-85.193662,32.841031,"AL,I-85,SB,LANETT WELCOME CENTER, MM78","[RR,PT,VM,Pets,HF]|RV Dump"
-85.407568,31.007808,"AL,US-231,NB,HOUSTON COUNTY REST AREA, MM0.7","[RR,PT,,Pets,HF]|RV Dump"
-85.408172,31.007849,"AL,US-231,SB,HOUSTON COUNTY REST AREA-LEFT EXIT, MM0.7","[RR,PT,,Pets,HF]|RV Dump"
-85.583124,31.390784,"AL,US-231,SB,DALE COUNTY REST AREA, MM37.8","[RR,PT,,Pets,HF]|"
-85.581593,31.390019,"AL,US-231,NB,DALE COUNTY REST AREA-LEFT EXIT, MM37.7","[RR,PT,,Pets,HF]|"
-86.296119,31.090612,"AL,US-331,NB,COVINGTON COUNTY REST AREA, MM8","[RR,PT,VM,Pets,HF]|"
-86.295217,31.09326,"AL,US-331,SB,COVINGTON COUNTY REST AREA-LEFT EXIT, MM8.1","[RR,PT,VM,Pets,HF]|"
-85.175733,31.781335,"AL,US-431,NB,BARBOUR COUNTY REST AREA-LEFT EXIT, MM58.7","[RR,PT,,Pets,HF]|RV Dump"
-85.175622,31.781558,"AL,US-431,SB,BARBOUR COUNTY REST AREA, MM58.8","[RR,PT,,Pets,HF]|RV Dump"
-86.885931,32.776324,"AL,US-82,WB,CHILTON COUNTY REST AREA, MM105.3","[RR,PT,VM,Pets,HF]|RV Dump"
-86.889249,32.778364,"AL,US-82,EB,CHILTON COUNTY REST AREA-LEFT EXIT, MM105.3","[RR,PT,VM,Pets,HF]|RV Dump"
-93.938549,33.516077,"AR,I-30,EB,WELCOME CENTER, MM7.2","[RR,PT,VM,Pets,HF]|"
-93.263439,33.92752,"AR,I-30,EB,GURDON REST AREA, MM48","[RR,PT,VM,Pets,HF]|"
-92.893597,34.349389,"AR,I-30,EB,SOCIAL SPRINGS REST AREA, MM92","[RR,PT,VM,Pets,HF]|"
-93.246435,33.941061,"AR,I-30,WB,GURDON REST AREA, MM57","[RR,PT,VM,Pets,HF]|"
-92.890239,34.353064,"AR,I-30,WB,SOCIAL SPRINGS REST AREA, MM92","[RR,PT,VM,Pets,HF]|"
-93.346476,35.371105,"AR,I-40,EB,BIG PINEY REST AREA, MM67.9","[RR,PT,,Pets,HF]|"
-93.346787,35.371495,"AR,I-40,WB,WELCOME CENTER, MM274","[RR,PT,,Pets,HF]|"
-93.281021,35.33582,"AR,I-40,WB,BIG PINEY REST AREA, MM72.3","[RR,PT,,Pets,HF]|"
-91.474944,34.835305,"AR,I-40,EB,WHITE RIVER REST AREA, MM199","[RR,PT,VM,Pets,HF]|"
-94.401021,35.459878,"AR,I-40,EB,WELCOME CENTER, MM2.6","[RR,PT,VM,Pets,HF]|"
-90.870575,34.997308,"AR,I-40,EB,FORREST CITY REST AREA, MM235","[RR,PT,VM,Pets,HF]|"
-93.850986,35.521014,"AR,I-40,EB,OZARK REST AREA, MM36","[RR,PT,VM,Pets,HF]|"
-91.469778,34.836917,"AR,I-40,WB,WHITE RIVER REST AREA, MM199","[RR,PT,VM,Pets,HF]|"
-90.756172,35.037237,"AR,I-40,WB,FORREST CITY REST AREA, MM243","[RR,PT,VM,Pets,HF]|"
-93.832348,35.517471,"AR,I-40,WB,OZARK REST AREA, MM36","[RR,PT,VM,Pets,HF]|"
-89.874777,35.943902,"AR,I-55,SB,WELCOME CENTER, MM4","[RR,PT,,Pets,HF]|"
-91.385672,33.546036,"AR,US-165,SB,(NT) HARRISON REST AREA","[RR,PT,,Pets,HF]|"
-91.386367,33.544731,"AR,US-165,NB,(NT) HARRISON REST AREA","[RR,PT,,Pets,HF]|"
-92.635067,33.18492,"AR,US-167,SB,EL DORADO WELCOME CENTER LEFT EXIT-SE CORNER 82/167","[RR,PT,,Pets,HF]|"
-92.635113,33.183328,"AR,US-167,NB,EL DORADO WELCOME CENTER NB-SE CORNER 82/167","[RR,PT,,Pets,HF]|"
-91.606144,35.614813,"AR,US-167,SB,REST AREA, MM8","[RR,PT,,Pets,HF]|"
-91.606551,35.613069,"AR,US-167,NB,REST AREA LEFT EXIT, MM8","[RR,PT,,Pets,HF]|"
-94.562489,36.176207,"AR,US-412,EB,SILOAM SPRINGS WELCOME CENTER","[RR,PT,,Pets,HF]|"
-94.564423,36.176407,"AR,US-412,WB,SILOAM SPRINGS WELCOME CENTER","[RR,PT,,Pets,HF]|"
-90.604826,34.503079,"AR,US-49,WB,HELENA WELCOME CENTER, MM28","[RR,PT,,Pets,HF]|"
-90.605665,34.502639,"AR,US-49,EB,HELENA WELCOME CENTER, MM28","[RR,PT,,Pets,HF]|"
-91.151814,36.123427,"AR,US-63/412,SB,REST AREA","[RR,PT,VM,Pets,HF]|"
-91.150625,36.122531,"AR,US-63/412,NB,REST AREA LEFT EXIT","[RR,PT,VM,Pets,HF]|"
-91.382578,33.546892,"AR,US-65,SB,(NT) HARRISON REST AREA, MM16.9","[RR,PT,,Pets,HF]|"
-91.381652,33.545442,"AR,US-65,NB,(NT) HARRISON REST AREA LEFT EXIT, MM16.9","[RR,PT,,Pets,HF]|"
-91.278204,33.300054,"AR,US-65,NB,LAKE VILLAGE WELCOME CENTER","[RR,PT,,Pets,HF]|"
-91.279762,33.301079,"AR,US-65,SB,LAKE VILLAGE WELCOME CENTER","[RR,PT,,Pets,HF]|"
-90.546719,36.483517,"AR,US-67,SB,CORNING WELCOME CENTER, MM7.2","[RR,PT,,Pets,HF]|"
-90.547822,36.482633,"AR,US-67,NB,CORNING WELCOME CENTER LEFT EXIT, MM7.2","[RR,PT,,Pets,HF]|"
-92.898275,34.536296,"AR,US-70,EB,GLENWOOD REST AREA","[RR,PT,,Pets,HF]|"
-92.89665,34.537019,"AR,US-70,WB,GLENWOOD REST AREA LEFT EXIT","[RR,PT,,Pets,HF]|"
-94.120502,35.025631,"AR,US-71,NB,WALDRON REST AREA","[RR,PT,,Pets,HF]|"
-94.121541,35.028242,"AR,US-71,SB,WALDRON REST AREA LEFT EXIT","[RR,PT,,Pets,HF]|"
-94.233073,36.43197,"AR,US-71,SB,BELLA VISTA TOURIST INFORMATION CENTER","[RR,PT,,Pets,HF]|NO TRUCKS"
-94.232359,36.431956,"AR,US-71,NB,BELLA VISTA TOURIST CENTER LEFT EXIT","[RR,PT,,Pets,HF]|NO TRUCKS"
-94.042874,33.542973,"AR,US-71,NB,RED RIVER WELCOME CENTER LEFT EXIT, MM8.3","[RR,PT,,Pets,HF]|NO TRUCKS"
-94.043787,33.547993,"AR,US-71,SB,RED RIVER WELCOME CENTER LEFT EXIT, MM8.3","[RR,PT,,Pets,HF]|NO TRUCKS"
-92.198412,34.058554,"AR,US-79,NB,RISON REST AREA","[RR,PT,,Pets,HF]|"
